swedish,english
vecka,week
idag,today
år,year
imorgon,tomorrow
igår,yesterday
kalender,calendar
timme,hour
minut,minute
klockan,o'clock
klockan,o'clock
en time,a Time.
kan,may
göra,do
använda,use
komma,come
skratta,laugh
göra,do
se,see
liten,small
långt,far
bra,Good
vacker,beautiful
ful,ugly
svår,difficult
lätt,light
Trevligt att träffas,Nice to meet you
nära,near
hej,Hello
god morgon,good morning
goddag,good day
godnatt,good night
God kväll,Good evening
tack,thanks
Hur mår du,How are you
nej,No
Utsökt!,Delicious!
Jag är...(namn),I'm ... (name)
ja,yes
Hej då!,Bye!
måndag,Monday
tisdag,Tuesday
onsdag,Wednesday
torsdag,Thursday
fredag,Friday
lördag,Saturday
maj,May
söndag,Sunday
januari,January
februari,February
mars,Mars.
april,April.
juni,Jun
juli,july
augusti,August
september,September
oktober,October
november,November
december,December.
noll,zero
ett,one
två,two
Trevligt att träffas,Nice to meet you
fyra,four
fem,five
sex,six
sju,seven
nio,nine
åtta,eight
tio,ten
kaffe,coffee
öl,beer
vin,wine
té,té
vatten,water
biff,steak
fläsk,pork
kyckling,chicken
lamp,lamp
fisk,fish
fot,Foot
ben,bone
huvud,head
arm,arm
hand,hand
finger,finger
kropp,body
mage,stomach
rygg,back
bröst,breast
sjuksköterska,nurse
poliskonstapel,policeman
anställd,employee
kock,chef
ingenjör,engineer
föreståndare,director
lärare,teacher
barn,children
försäljare,salesman
han,he
inte,not
hans,his
det,the
du,you
med,with
att vara,to be
och,and
de,the
till,to
av,of
en,one
jag,I
att ha,having
den där,that
henne,her
att göra,to do
det,the
hon,she
som,as
honom,him
från,from
men,but
mig,me
min,my
att gå,to go
de,the
allt,all
av,of
detta,this
ett,one
upp,up
att veta,to know
tycka om,like
kvinna,woman
